 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
     69         9.4086             9.4086            1.2632         26.2          55.13              9             106     
     69         9.4086             9.4086            1.2632         26.2         45.899              6              95     
     69         9.4086             9.4086            1.2632         26.2         39.246             13              78     
     69         9.4086             9.4086            1.2632         26.2         187.55             10             255     
     69         9.4086             9.4086            1.2632         26.2         41.217              8              78     
     69         9.4086             9.4086            1.2632         26.2         22.478              6              60     
     69         9.4086             9.4086            1.2632         26.2         49.449              7              96     
     69         9.4086             9.4086            1.2632         26.2         99.667             13             215     
     69         9.4086             9.4086            1.2632         26.2         67.159             30             129     
     82         10.935             9.6154            1.2242       29.012         30.256              5              87     
     95         11.641             10.482            1.2011       31.526           30.2              8              74     
     78         10.505             9.5273            1.2361        28.16         72.051             14             195     
     95         11.641             10.482            1.2011       31.526         99.337             41             172     
     69         9.4086             9.4086            1.2632         26.2         44.478             13              84     
     78         10.505             9.5273            1.2361        28.16         84.269             36             162     
     69         9.4086             9.4086            1.2632         26.2         141.33             20             255     
     69         9.4086             9.4086            1.2632         26.2         228.13            109             255     
     69         9.4086             9.4086            1.2632         26.2         216.42             58             255     
     95         11.641             10.482            1.2011       31.526         29.379             11              62     
     69         9.4086             9.4086            1.2632         26.2         66.261             28             149     
     69         9.4086             9.4086            1.2632         26.2          217.8             93             255     
    111         13.576             10.513            1.1578        34.71         252.05            221             255     
     98         12.335             10.199             1.188       32.196         247.52            183             255     

Area Stats =
                 mean: 85.9145
               median: 78
    StandardDeviation: 24.4998
             Varience: 600.2382

Cicularity Stats =
                 mean: 1.2203
               median: 1.2361
    StandardDeviation: 0.0607
             Varience: 0.0037

Perimeter Stats =
                 mean: 29.6034
               median: 28.1600
    StandardDeviation: 4.8103
             Varience: 23.1393

Local Region Mean Intensity Stats =
                 mean: 88.8327
               median: 71.1594
    StandardDeviation: 61.4262
             Varience: 3.7732e+03

Min & Max Intensity Stats =
        IdividualMean: [339×1 double]
            MinorMean: 39.5723
            MajorMean: 135.4572
       PopulationMean: 87.5147
          MinorMedian: 31
          MajorMedian: 121
     PopulationMedian: 78.5000
         MinorMinimum: 1
         MinorMaximum: 221
         MajorMinimum: 21
         MajorMaximum: 255
    StandardDeviation: 50.4668
             Varience: 2.5469e+03

Min & Max Length Stats =
        IdividualMean: [339×1 double]
            MinorMean: 9.9749
            MajorMean: 10.9165
       PopulationMean: 10.4457
          MinorMedian: 9.5273
          MajorMedian: 10.5052
     PopulationMedian: 10.0162
         MinorMinimum: 5.4608
         MinorMaximum: 16.0834
         MajorMinimum: 9.4086
         MajorMaximum: 20.6744
    StandardDeviation: 1.4340
             Varience: 2.0564

Statistical Analysis of Nuclei with Watershed =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
    ____    _______________    _______________    ___________    _________    _____________    ____________    ____________

    218         23.792             12.003           0.88748       55.559         154.93             17             254     
    332         27.176             16.324            0.7413        75.02         18.578              0              63     
    143          16.11               11.6            1.0749       40.888         45.378              4             105     
     71         10.727             8.7854             1.079       28.756         70.155              4             170     
     85         15.669             8.3327           0.70363       38.962         10.894              0              23     
    156         17.377             13.008           0.80415       49.374         16.071              1              45     
     57         9.7444             7.6624            1.1111        25.39         16.175              2              42     
     75         14.629             6.7006           0.94827       31.526         71.613              6             145     
    111          13.58             10.992            1.0308       36.786         78.505              4             183     
    117         15.283             10.169            1.0019       38.308         18.863              2              46     
    139         15.446             11.746            1.0203       41.376             10              0              30     
    178         16.093             14.208            1.0675       45.776         34.545              3              79     
     65         9.6048             9.0589             1.092        27.35         9.7231              1              25     
    163         17.377             12.237           0.98352       45.636         25.172              4              59     
    174         22.278             10.246           0.85326       50.622         38.983              3             100     
    441          25.84             22.157           0.92899       77.236         31.501              1              89     
    107         18.162             7.6514            0.8843       38.994         41.636             10              77     
    595         28.721             26.874           0.78547       97.566         39.966              1             119     
    288         24.919             15.116           0.87644        64.26         50.413              0             144     
    102         14.005             9.9901           0.90838       37.564         47.294              1             114     
     98         13.484             9.6402           0.88127       37.382         12.857              2              30     
     60         10.583             7.7414            1.0221        27.16         26.083              3              48     
     63         9.7857             8.4206            1.1762       25.944         31.937              7              77     
    327         24.706             17.123           0.98724       64.516         50.373              0             126     
    418         27.534             19.878           0.81739       80.164         39.792              0             103     
     87         11.997             9.6005            1.0397       32.428         19.126              0              42     
     78         12.002             8.5775              1.09       29.988         10.128              1              22     
    282         23.124             16.033            0.9201        62.06         163.54             14             255     
    190         16.428             14.975            1.0775       47.074         65.889              5             142     
     62         10.877             7.5441            1.0851       26.796         16.484              5              37     
    424         24.358             22.388           0.98789        73.44         48.861              1             124     
